片名,其他片名,上映年份,国家/地区,分类,标签,观看平台,我的评分,海报,豆瓣,归档日期,备注,归档年份
波士顿连环命案,,,,电影,,资源,7.0,,,2025/09/02 19:32,,2025
布达佩斯大饭店,,,,电影,,资源,9.0,,,2025/09/03 09:20,,2025
救命解药,,,,电影,,资源,6.0,,,2025/09/03 15:46,,2025
告白,,,,电影,,资源,9.0,,,2025/09/04 18:36,,2025
超人,,,,电影,,资源,7.0,,,2025/09/06 15:03,,2025
甜蜜蜜,,,,电影,,腾讯视频,7.0,,,2025/09/07 19:48,,2025
夜班,,,,电影,,资源,8.0,,,2025/09/11 15:18,,2025
星期三 第一季,,,,剧集,,资源,8.0,,,2025/09/16 11:06,,2025
杀戮人机,,,,剧集,,资源,7.0,,,2025/09/19 12:35,,2025
星期三 第二季,,,,剧集,,资源,8.0,,,2025/09/23 09:36,,2025
异形：地球 第一季,,,,剧集,,资源,8.0,,,2025/09/24 17:35,,2025
弥留之国的爱丽丝 第三季,,,,剧集,,资源,7.0,,,2025/09/27 16:31,,2025
头文字D,,,,电影,,腾讯视频,7.0,,,2025/09/25 23:56,,2025
东城梦魇,,,,剧集,,资源,9.0,,,2025/09/25 23:57,,2025
神奇四侠：初露锋芒,,,,电影,,资源,6.0,,,2025/10/03 22:07,,2025
汉江怪物,,,,电影,,资源,8.0,,,2025/10/05 00:14,,2025
一战再战,,,,电影,,院线,8.0,,,2025/10/20 15:26,,2025
和平使者 第二季,,,,剧集,,资源,7.0,,,2025/10/20 15:27,,2025
火烧天堂镇,,,,电影,,资源,7.0,,,2025/10/21 22:58,,2025
官方机密,,,,电影,,资源,7.0,,,2025/10/21 22:58,,2025
流人 第五季,,,,剧集,,资源,9.0,,,2025/11/07 11:04,,2025
浪浪人生,,,,电影,,院线,5.0,,,2025/11/11 23:05,,2025
误杀 3,,,,电影,,腾讯视频,7.0,,,2025/11/28 13:28,,2025
罪夜之奔,,,,剧集,,资源,8.0,,,2025/11/28 13:28,,2025
边缘世界,,,,剧集,,资源,7.0,,,2025/12/05 12:54,,2025
都是她的错,,,,剧集,,资源,8.0,,,2025/12/07 15:29,,2025
电锯人蕾塞篇,,,,电影,,资源,8.0,,,2025/12/18 10:51,,2025
隔壁房间,,,,电影,,资源,6.0,,,2025/12/18 14:05,,2025
空战群英,,,,剧集,,资源,8.0,,,2025/12/18 14:20,,2025
铁血战士：杀戮之地,,,,电影,,资源,7.0,,,2025/12/19 09:02,,2025
阿凡达3,,,,电影,,院线,7.0,,,2025/12/20 12:22,,2025
利刃出鞘3：亡者归来,,,,电影,,资源,8.0,,,2025/12/20 12:24,,2025
K-POP猎魔女团,,,,电影,,资源,8.0,,,2025/12/22 10:20,,2025
情书,,,,电影,,资源,9.0,,,2025/12/23 10:53,,2025
金斯敦市长 第一季,,,,剧集,,资源,9.0,,,2025/12/27 11:15,,2025
关于约会的一切,,,,电影,,资源,8.0,,,2025/12/27 11:16,,2025
金斯敦市长 第二季,,,,剧集,,资源,8.0,,,2025/12/31 14:52,,2025
怪奇物语 第五季,,,美国,剧集,,资源,8.0,,,2026/01/03 15:05,,2026
真相捕捉 第一季,,,英国,剧集,,资源,8.0,,,2026/01/04 21:34,,2026
驴得水,,,中国,电影,,资源,9.0,,,2026/01/04 21:34,,2026
真相捕捉 第二季,,,英国,剧集,,资源,9.0,,,2026/01/05 22:54,,2026
疯狂动物城2,,,美国,电影,,院线,8.0,,,2026/01/11 12:29,,2026
泰勒斯威夫特：一个时代的结束,,,美国,纪录片,,资源,9.0,,,2026/01/11 12:30,,2026
隧道,,,韩国,电影,,资源,8.0,,,2026/01/15 09:32,,2026
沉默的真相,,,中国,剧集,,资源,8.0,,,2026/01/15 09:41,,2026
出走的决心,,,中国,电影,,资源,9.0,,,2026/01/21 21:27,,2026
金福南杀人事件始末,,,韩国,电影,,资源,9.0,,,2026/01/25 22:35,很遗憾以这种方式认识你金福南。,2026
沙尘暴,,,中国,剧集,,资源,8.0,,,2026/01/31 12:27,,2026
弗兰肯斯坦,,,美国,电影,,资源,8.0,,,2026/02/03 12:50,,2026
创：战神,,,美国,电影,,资源,6.0,,,2026/02/03 12:51,,2026
健听女孩,,,美国,电影,,资源,8.0,,,2026/02/04 22:06,,2026
穿条纹睡衣的男孩,,,德国,电影,,资源,8.0,,,2026/02/05 10:02,,2026
小姐,,,韩国,电影,,资源,8.0,,,2026/02/08 21:21,,2026
全信没收,,,美国,电影,,资源,6.0,,,2026/02/08 21:21,,2026
火车梦,,,美国,电影,,资源,8.0,,,2026/02/11 00:13,,2026
惊蛰无声,,,中国,电影,,资源,7.0,,,2026/02/20 12:35,,2026
强制窃贼,,,英国,剧集,,资源,7.0,,,2026/02/20 20:32,,2026
飞驰人生3,,,中国,电影,,资源,8.0,,,2026/02/24 13:31,,2026
辐射 第2季,,,美国,剧集,,资源,8.0,,,2026/02/24 13:32,,2026
七王国的骑士,,,"美国,英国",剧集,,资源,8.0,,,2026/02/25 10:53,,2026
金斯敦市长 第3季,,,美国,剧集,,资源,8.0,,,2026/03/01 23:49,,2026
爱情与灵药,,,美国,电影,,资源,8.0,,,2026/03/02 22:19,,2026
爱情怎么翻译,,,韩国,剧集,,资源,7.0,,,2026/03/03 20:33,,2026
暗杀,,,韩国,电影,,资源,7.0,,,2026/03/07 14:54,,2026
逃离德黑兰,,,美国,电影,,资源,7.0,,,2026/03/07 14:54,,2026
猎杀U-571,,,"美国,德国",电影,,资源,7.0,,,2026/03/07 17:57,,2026
接近终点,,,西班牙,电影,,资源,6.0,,,2026/03/10 10:41,,2026
查克的一生,,,美国,电影,,资源,7.0,,,2026/03/10 15:36,,2026
庇护之地,,,"美国,英国",电影,,资源,6.0,,,2026/03/07 20:27,,2026
匹兹堡医护前线 第一季,,,美国,剧集,,资源,9.0,,,2026/03/12 22:10,,2026
惊天魔盗团 3,,,美国,电影,,资源,5.0,,,2026/03/14 18:11,,2026
房间,,,美国,电影,,资源,8.0,,,2026/03/14 21:42,,2026
东京食尸鬼 第一季,,,日本,剧集,,资源,7.0,,,2026/03/23 13:28,,2026
东京食尸鬼 第二季,,,日本,剧集,,资源,8.0,,,2026/03/23 13:29,,2026
东京食尸鬼 第三季,,,日本,剧集,,资源,7.0,,,2026/03/24 13:09,,2026
东京食尸鬼 第四季,,,日本,剧集,,资源,8.0,,,2026/03/24 13:09,,2026
战争之王,,,美国,电影,,资源,8.0,,,2026/03/25 10:19,,2026
浴血黑帮 第一季,,,英国,剧集,,资源,8.0,,,2026/03/25 10:19,,2026
挽救计划,,,美国,电影,,资源,8.0,,,2026/03/27 13:02,,2026
辩护人,,,韩国,电影,,资源,8.0,,,2026/04/02 20:35,,2026
弱点,,,美国,电影,,资源,8.0,,,2026/04/06 09:40,,2026
咒术回战 第三季,,,日本,剧集,,资源,8.0,,,2026/04/06 22:17,,2026
呼啸山庄,,,"英国,美国",电影,,资源,6.0,,,2026/04/16 19:43,,2026
洛杉矶劫案,,,美国,电影,,资源,7.0,,,2026/04/16 20:01,,2026
真相捕捉 第三季,,,"英国,美国",剧集,,资源,8.0,,,2026/04/19 00:37,,2026
匹兹堡医护前线 第二季,,,美国,剧集,,资源,8.0,,,2026/04/19 00:37,,2026
再次出发之纽约遇见你,Begin Again,,"美国,英国",电影,,资源,8.0,,,2026/04/19 00:37,,2026
终极名单 第一季,,,美国,剧集,,资源,8.0,,,2026/04/29 10:05,,2026
终极名单：黑狼,,,美国,剧集,,资源,8.0,,,2026/05/01 11:27,,2026
夺命许愿,,,韩国,剧集,,资源,8.0,,,2026/05/03 00:14,,2026
钟表馆杀人事件,,,日本,剧集,,资源,8.0,,,2026/05/14 11:18,,2026
