片名,其他片名,上映年份,国家/地区,分类,标签,观看平台,我的评分,海报,豆瓣,归档日期,备注,归档年份
危城谜案,Infiesto,2023,西班牙,电影,犯罪,Netflix,6.0,,https://movie.douban.com/subject/35642186/,2023/02/15 22:04,,2023
扑克脸,Poker Face,2023,美国,剧集,"悬疑,犯罪",资源,8.0,,https://movie.douban.com/subject/35402785/,2023/02/15 22:05,,2023
海边的曼彻斯特,Manchester by the Sea,2016,美国,电影,剧情,资源,7.0,,https://movie.douban.com/subject/25980443/,2023/02/22 22:20,发生了很多难过的事，但是只有一个可怜的人,2023
弥留之国的爱丽丝 第二季,今際の国のアリス シーズン2,2022,日本,剧集,生存,Netflix,7.0,,https://movie.douban.com/subject/35300122/,2023/03/10 19:50,,2023
扑克脸 第一季,Poker Face Season 1,2023,美国,剧集,"悬疑,犯罪",资源,8.0,,https://movie.douban.com/subject/35402785/,2023/03/13 20:44,,2023
最后生还者 第一季,The Last of Us Season 1,2023,美国,剧集,惊悚,资源,9.0,,https://movie.douban.com/subject/25848328/,2023/03/13 21:30,,2023
黑暗荣耀 第一季,더 글로리,2022,韩国,剧集,犯罪,Netflix,9.0,,https://movie.douban.com/subject/35314632/,2023/03/16 23:24,,2023
黑暗荣耀 第二季,더 글로리2,2023,韩国,剧集,犯罪,Netflix,9.0,,https://movie.douban.com/subject/36193784/,2023/03/16 23:24,,2023
坠落,Fall,2022,美国,电影,惊悚,BiliBili,7.0,,https://movie.douban.com/subject/35700395/,2023/03/25 12:35,,2023
白夜行,,2011,日本,电影,"悬疑,犯罪",BiliBili,7.0,,https://movie.douban.com/subject/4822829/,2023/03/30 22:19,,2023
铃芽之旅,すずめの戸締まり,2022,日本,电影,灾难,院线,7.0,,https://movie.douban.com/subject/35371261/,2023/03/30 22:19,,2023
暗夜情报局,The Night Agent Season 1,2023,美国,剧集,"动作,犯罪",Netflix,8.0,,https://movie.douban.com/subject/35558659/,2023/04/06 11:54,,2023
模仿犯,,2023,中国,剧集,犯罪,Netflix,7.0,,https://movie.douban.com/subject/35651927/,2023/04/08 15:42,,2023
黄石 第一季,Yellowstone Season 1,2018,美国,剧集,剧情,资源,9.0,,https://movie.douban.com/subject/27036727/,2023/04/18 17:28,,2023
银河护卫队3,Guardians of the Galaxy Vol. 3,2023,美国,电影,"Super Hero,漫威",院线,8.0,,https://movie.douban.com/subject/26258779/,2023/05/06 09:48,,2023
速度与激情10,Fast X,2023,美国,电影,犯罪,院线,6.0,,https://movie.douban.com/subject/26631790/,2023/05/24 19:49,,2023
泰坦尼克号,Titanic,1997,美国,电影,"爱情,灾难",资源,10,,https://movie.douban.com/subject/1292722/,2023/05/26 14:21,,2023
真探 第二季,True Detective Season 2,2015,美国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/25837700/,2023/06/18 02:08,,2023
真探 第三季,True Detective Season 3,2019,美国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/27006232/,2023/06/18 02:08,,2023
惊天营救2,Extraction 2,2023,美国,电影,"剧情,犯罪",Netflix,7.0,,https://movie.douban.com/subject/35056376/,2023/06/18 02:08,,2023
闪电侠,The Flash,2023,美国,电影,"Super Hero,DC",院线,7.0,,https://movie.douban.com/subject/3011317/,2023/06/27 14:26,,2023
黑镜 第六季,Black Mirror Season 6,2023,美国,剧集,剧情,Netflix,7.0,,https://movie.douban.com/subject/35901863/,2023/06/27 14:25,,2023
僵尸世界大战,World War Z,2013,美国,电影,"灾难,生存",Netflix,8.0,,https://movie.douban.com/subject/2132473/,2023/06/28 14:20,,2023
羊毛战记 第一季,Silo Season 1,2023,美国,剧集,"生存,灾难",资源,8.0,,https://movie.douban.com/subject/35468745/,2023/06/30 17:29,,2023
怦然心动,Flipped,2010,美国,电影,爱情,BiliBili,9.0,,https://movie.douban.com/subject/3319755/,2023/06/30 17:37,,2023
以吾之名,마이네임,2021,韩国,剧集,犯罪,Netflix,8.0,,https://movie.douban.com/subject/35172465/,2023/07/03 19:39,,2023
冰血暴 第一季,Fargo Season 1,2014,美国,剧集,犯罪,资源,9.0,,https://movie.douban.com/subject/24297912/,2023/07/07 01:23,,2023
冰血暴 第二季,Fargo Season 2,2015,美国,剧集,犯罪,资源,9.0,,https://movie.douban.com/subject/25919897/,2023/07/10 12:10,,2023
冰血暴 第三季,Fargo Season 3,2017,美国,剧集,犯罪,资源,8.0,,https://movie.douban.com/subject/26671380/,2023/07/13 18:56,,2023
碟中谍7:致命清算,Mission: Impossible – Dead Reckoning Part One,2023,美国,电影,犯罪,院线,8.0,,https://movie.douban.com/subject/30433455/,2023/07/14 18:07,,2023
网络迷踪2,Missing,2023,美国,电影,"悬疑,剧情",Netflix,8.0,,https://movie.douban.com/subject/34795100/,2023/07/17 02:05,,2023
被解救的姜戈,Django Unchained,2012,美国,电影,剧情,Netflix,9.0,,https://movie.douban.com/subject/6307447/,2023/07/20 00:46,,2023
蒙上你的眼：逃出巴塞罗那,A ciegas,2023,西班牙,电影,"惊悚,剧情",Netflix,5.0,,https://movie.douban.com/subject/35650123/,2023/07/20 00:47,,2023
黄石 第二季,Yellowstone Season 2,2019,美国,剧集,"剧情,犯罪",资源,9.0,,https://movie.douban.com/subject/30283405/,2023/07/20 00:53,,2023
消失的爱人,Gone Girl,2014,美国,电影,"剧情,犯罪",Netflix,9.0,,https://movie.douban.com/subject/21318488/,2023/07/20 04:03,,2023
谍影重重,The Bourne Identity,2002,美国,电影,"剧情,悬疑,动作",BiliBili,8.0,,https://movie.douban.com/subject/1304102/,2023/07/20 16:45,,2023
谍影重重2,The Bourne Supremacy,2004,美国,电影,"剧情,悬疑,动作",BiliBili,8.0,,https://movie.douban.com/subject/1308767/,2023/07/20 20:51,,2023
谍影重重3,The Bourne Ultimatum,2007,美国,电影,"剧情,悬疑,动作",BiliBili,8.0,,https://movie.douban.com/subject/1578507/,2023/07/21 01:34,,2023
熔炉,도가니,2011,韩国,电影,剧情,资源,9.0,,https://movie.douban.com/subject/5912992/,2023/07/21 18:15,,2023
何以为家,كفرناحوم,2018,黎巴嫩,电影,剧情,BiliBili,9.0,,https://movie.douban.com/subject/30170448/,2023/07/23 01:49,,2023
静水城,Stillwater,2021,美国,电影,"剧情,悬疑",Netflix,7.0,,https://movie.douban.com/subject/34614665/,2023/07/23 13:48,,2023
新世界,신세계,2013,韩国,电影,犯罪,资源,9.0,,https://movie.douban.com/subject/10437779/,2023/07/24 02:01,,2023
勿言推理,ミステリと言う勿れ,2022,日本,剧集,悬疑,BiliBili,8.0,,https://movie.douban.com/subject/35288743/,2023/07/29 20:08,,2023
重庆森林,,1994,中国,电影,剧情,资源,9.0,,https://movie.douban.com/subject/1291999/,2023/07/29 20:08,,2023
猎魔人 第三季,The Witcher Season 3,2023,美国,剧集,剧情,Netflix,7.0,,https://movie.douban.com/subject/35609387/,2023/08/04 09:41,,2023
咒术回战0,呪術廻戦 0,2021,日本,电影,"剧情,魔幻",Netflix,8.0,,https://movie.douban.com/subject/35414623/,2023/08/06 19:04,,2023
咒术回战 第一季,呪術廻戦,2020,日本,剧集,"剧情,魔幻",Netflix,8.0,,https://movie.douban.com/subject/34895145/,2023/08/24 13:04,,2023
咒术回战 第二季,,,,,,Netflix,8.0,,,2023/08/24 13:04,,2023
谍之心,Heart of Stone,2023,美国,电影,"悬疑,剧情,犯罪",Netflix,6.0,,https://movie.douban.com/subject/35274674/,2023/08/24 13:04,,2023
进击的巨人 第一季,,,,,,Netflix,9.0,,,2023/09/06 20:56,,2023
进击的巨人 第一季,,,,,,Netflix,9.0,,,2023/09/06 20:57,,2023
进击的巨人 第二季,,,,,,Netflix,9.0,,,2023/09/06 20:57,,2023
进击的巨人 第三季,,,,,,Netflix,9.0,,,2023/09/06 20:57,,2023
进击的巨人 第四季,,,,,,Netflix,9.0,,,2023/09/06 20:57,,2023
进击的巨人 第五季,,,,,,Netflix,9.0,,,2023/09/06 20:57,,2023
进击的巨人 第六季,,,,,,Netflix,9.0,,,2023/09/06 20:57,,2023
进击的巨人 第七季,,,,,,Netflix,9.0,,,2023/09/06 20:57,,2023
鬼灭之刃 立志篇,鬼滅の刃,2019,日本,剧集,"日本,魔幻",Netflix,9.0,,https://movie.douban.com/subject/30210221/,2023/09/06 20:57,,2023
鬼灭之刃 无限列车篇,鬼滅の刃 無限列車編,2021,日本,剧集,"日本,魔幻",Netflix,9.0,,https://movie.douban.com/subject/35620761/,2023/09/06 20:58,,2023
鬼灭之刃 游郭篇,鬼滅の刃 遊郭編,2021,日本,剧集,"日本,魔幻",Netflix,9.0,,https://movie.douban.com/subject/34813210/,2023/09/06 20:58,,2023
鬼灭之刃 刀匠村篇,鬼滅の刃 刀鍛冶の里編,2023,日本,剧集,"日本,魔幻",Netflix,8.0,,https://movie.douban.com/subject/35769236/,2023/09/06 20:58,,2023
秘密森林,비밀의 숲,2017,韩国,剧集,"犯罪,剧情",Netflix,9.0,,https://movie.douban.com/subject/26934346/,2023/09/06 20:58,,2023
秘密森林2,비밀의숲2,2020,韩国,剧集,"犯罪,剧情",Netflix,9.0,,https://movie.douban.com/subject/34815544/,2023/09/06 20:58,,2023
窥探,마우스,2021,韩国,剧集,"犯罪,剧情,悬疑",资源,8.0,,https://movie.douban.com/subject/35027568/,2023/09/17 16:11,,2023
绅士怪盗3,Lupin Season 3,2023,法国,剧集,"犯罪,剧情",Netflix,7.0,,https://movie.douban.com/subject/36105168/,2023/10/18 06:05,,2023
夺宝奇兵5：命运转盘,Indiana Jones and the Dial of Destiny,2023,美国,电影,"剧情,冒险",BiliBili,7.0,,https://movie.douban.com/subject/3819860/,2023/10/22 23:46,,2023
止痛骗,Pain Hustlers,2023,美国,电影,"剧情,犯罪",Netflix,7.0,,https://movie.douban.com/subject/35603707/,2023/11/01 22:26,,2023
杀手,The Killer,2023,美国,电影,"犯罪,动作",Netflix,7.0,,https://movie.douban.com/subject/2998451/,2023/11/15 22:02,,2023
达芬奇密码,The Da Vinci Code,2006,"美国,法国,英国",电影,悬疑,BiliBili,8.0,,https://movie.douban.com/subject/1329950/,2023/11/16 19:40,,2023
超脱,Detachment,2011,美国,电影,剧情,BiliBili,9.0,,https://movie.douban.com/subject/5322596/,2023/11/16 22:02,,2023
罪孽深种,DNA do Crime,2023,巴西,剧集,犯罪,Netflix,8.0,,https://movie.douban.com/subject/36152522/,2023/11/16 22:04,,2023
铁道人：1984博帕尔事件,The Railway Men,2023,印度,剧集,剧情,Netflix,8.0,,https://movie.douban.com/subject/36620859/,2023/11/30 19:05,,2023
巨齿鲨2：深渊,Meg 2: The Trench,2023,"美国,中国",电影,动作,腾讯视频,7.0,,https://movie.douban.com/subject/34882958/,2023/11/30 19:06,,2023
奥本海默,Oppenheimer,2023,"美国,英国",电影,传记,资源,9.0,,https://movie.douban.com/subject/35593344/,2023/12/03 20:15,,2023
甜蜜家园2,스위트홈2,2023,韩国,剧集,"动作,魔幻",Netflix,7.0,,https://movie.douban.com/subject/35524443/,2023/12/03 20:15,,2023
美国恐怖故事 第三季,American Horror Story Season 3,2013,美国,剧集,魔幻,资源,7.0,,https://movie.douban.com/subject/20513355/,2023/12/03 22:39,,2023
93国际列车大劫案：莫斯科行动,,2023,中国,电影,犯罪,BiliBili,5.0,,https://movie.douban.com/subject/10810266/,2023/12/04 02:13,,2023
电锯惊魂10,Saw X,2023,"美国,墨西哥",电影,犯罪,资源,8.0,,https://movie.douban.com/subject/36116844/,2023/12/05 16:28,,2023
了不起的盖茨比,The Great Gatsby,2013,"美国,澳大利亚",电影,"传记,剧情",资源,9.0,,https://movie.douban.com/subject/3364223/,2023/12/10 20:16,,2023
疾速追杀2,John Wick: Chapter 2,2017,美国,电影,"剧情,犯罪,动作",资源,8.0,,https://movie.douban.com/subject/26333560/,2023/12/15 23:23,,2023
疾速追杀3,John Wick: Chapter 3 - Parabellum,2019,美国,电影,"剧情,犯罪,动作",资源,8.0,,https://movie.douban.com/subject/26909790/,2023/12/16 16:47,,2023
疾速追杀4,John Wick: Chapter 4,2023,美国,电影,"剧情,犯罪,动作",资源,8.0,,https://movie.douban.com/subject/33455421/,2023/12/16 22:16,,2023
康斯坦丁,Constantine,2005,美国,电影,"惊悚,魔幻",资源,8.0,,https://movie.douban.com/subject/1309021/,2023/12/17 21:03,,2023
少年派的奇幻漂流,Life of Pi,2012,"美国,中国,英国,加拿大",,剧情,资源,8.0,,https://movie.douban.com/subject/1929463/,2023/12/18 17:00,,2023
海王2：失落的王国,Aquaman and the Lost Kingdom,2023,美国,电影,"Super Hero,魔幻,DC",院线,6.0,,https://movie.douban.com/subject/30444942/,2023/12/20 23:37,,2023
人生路不熟,,2023,中国,电影,喜剧,腾讯视频,7.0,,https://movie.douban.com/subject/35653205/,2023/12/24 21:27,,2023
月球叛军：火之女,Rebel Moon: A Child of Fire,2023,美国,电影,魔幻,Netflix,6.0,,https://movie.douban.com/subject/35517441/,2023/12/26 22:40,,2023
流人 第三季,Slow Horses Season 3,2023,英国,剧集,"犯罪,悬疑",资源,8.0,,https://movie.douban.com/subject/35918976/,2023/12/28 19:53,,2023
愚弄至死,Fool Me Once,2024,英国,剧集,"悬疑,剧情",Netflix,7.0,,https://movie.douban.com/subject/36253984/,2024/01/09 20:56,,2024
绝境盟约,La sociedad de la nieve,2023,"西班牙,智利,美国,乌拉圭",电影,剧情,Netflix,8.0,,https://movie.douban.com/subject/35693512/,2024/01/10 18:10,,2024
寂静之地2,A Quiet Place: Part II,2021,美国,电影,惊悚,BiliBili,6.0,,https://movie.douban.com/subject/30206311/,2024/01/16 23:05,,2024
侠探杰克 第二季,Reacher Season 2,2023,美国,剧集,"剧情,犯罪",资源,8.0,,https://movie.douban.com/subject/35763119/,2024/01/20 00:34,,2024
冰血暴 第五季,Fargo Season 5,2023,美国,剧集,"犯罪,剧情,悬疑",资源,8.0,,https://movie.douban.com/subject/35774682/,2024/01/21 02:39,,2024
养蜂人,The Beekeeper,2024,"美国,英国",电影,"剧情,犯罪",院线,7.0,,https://movie.douban.com/subject/35579652/,2024/01/31 08:35,,2024
花月杀手,Killers of the Flower Moon,2023,美国,电影,剧情,资源,7.0,,https://movie.douban.com/subject/26745332/,2024/02/03 16:00,,2024
杀人者的难堪,살인자o난감,2024,韩国,剧集,"剧情,犯罪",Netflix,7.0,,https://movie.douban.com/subject/35907916/,2024/02/11 16:14,,2024
解读恶之心的人们,악의 마음을 읽는 자들,2022,韩国,剧集,"剧情,悬疑,犯罪",Netflix,8.0,,https://movie.douban.com/subject/35460361/,2024/02/14 00:29,,2024
杀人者的购物中心,킬러들의 쇼핑몰,2024,韩国,剧集,"动作,剧情,悬疑",资源,7.0,,https://movie.douban.com/subject/36174946/,2024/02/17 14:10,,2024
真探 第四季,True Detective Season 4,2024,美国,剧集,"悬疑,剧情,犯罪",资源,8.0,,https://movie.douban.com/subject/35809047/,2024/02/21 01:32,,2024
杂种,Bastarden,2023,"丹麦,瑞典,挪威,德国",电影,剧情,资源,8.0,,https://movie.douban.com/subject/35699773/,2024/03/01 11:10,,2024
超异能者,무빙,2023,韩国,剧集,魔幻,资源,9.0,,https://movie.douban.com/subject/35206436/,2024/03/01 11:10,,2024
摩斯探长前传 第一季,Endeavour Season 1,2013,英国,剧集,悬疑,资源,9.0,,https://movie.douban.com/subject/22507437/,2024/03/02 13:00,,2024
摩斯探长前传 第二季,Endeavour Season 2,2014,英国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/24849982/,2024/03/07 06:00,,2024
摩斯探长前传 第三季,Endeavour Season 3,2016,英国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/25873036/,2024/03/07 06:00,,2024
摩斯探长前传 第四季,Endeavour Season 4,2017,英国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/26723175/,2024/03/07 06:00,,2024
摩斯探长前传 第五季,Endeavour Season 5,2018,英国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/26965753/,2024/03/07 06:00,,2024
摩斯探长前传 第六季,Endeavour Season 6,2019,英国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/30177326/,2024/03/07 06:01,,2024
摩斯探长前传 第七季,Endeavour Season 7,2020,英国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/30480179/,2024/03/08 03:01,,2024
摩斯探长前传 第八季,Endeavour Season 8,2021,英国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/34945580/,2024/03/08 03:02,,2024
摩斯探长前传 第九季,Endeavour Season 9,2023,英国,剧集,悬疑,资源,8.0,,https://movie.douban.com/subject/35912023/,2024/03/12 13:30,,2024
沙丘2,Dune: Part Two,2024,"美国,加拿大",电影,"剧情,魔幻",院线,8.0,,https://movie.douban.com/subject/35575567/,2024/03/12 13:30,,2024
功夫熊猫4,Kung Fu Panda 4,2024,"美国,中国",电影,喜剧,院线,6.0,,https://movie.douban.com/subject/26715496/,2024/03/12 13:30,,2024
周处除三害,,2023,中国台湾,电影,"犯罪,动作",Netflix,9.0,,https://movie.douban.com/subject/36151692/,2024/03/13 18:28,,2024
电锯人,,,,,"动画,惊悚",Netflix,7.0,,,2024/03/13 18:28,,2024
寄生兽,,,,,"动画,惊悚",Netflix,9.0,,,2024/03/14 14:32,,2024
首尔之春,서울의 봄,2023,韩国,电影,"剧情,历史",资源,8.0,,https://movie.douban.com/subject/35712804/,2024/03/15 14:00,,2024
你想活出怎样的人生,君たちはどう生きるか,2023,日本,电影,"剧情,动画",院线,7.0,,https://movie.douban.com/subject/26925611/,2024/04/08 14:16,,2024
寄生兽：灰色部队,기생수: 더 그레이,2024,韩国,剧集,惊悚,Netflix,7.0,,https://movie.douban.com/subject/35954429/,2024/04/09 18:29,,2024
哥斯拉大战金刚2:帝国崛起,Godzilla x Kong: The New Empire,2024,美国,电影,"惊悚,动作,魔幻",BiliBili,6.0,,https://movie.douban.com/subject/35453251/,2024/04/13 11:28,,2024
哥斯拉大战金刚,Godzilla vs Kong,2021,美国,电影,"惊悚,动作,魔幻",BiliBili,6.0,,https://movie.douban.com/subject/26613692/,2024/04/14 17:05,,2024
辐射 第一季,Fallout Season 1,2024,美国,剧集,"剧情,冒险,动作",资源,8.0,,https://movie.douban.com/subject/35128081/,2024/04/24 13:03,,2024
后翼弃兵,The Queen's Gambit,2020,美国,剧集,剧情,Netflix,8.0,,https://movie.douban.com/subject/32579283/,2024/05/17 13:48,,2024
哥斯拉 -1.0,ゴジラ-1.0,2023,日本,电影,"科幻,灾难,剧情",Netflix,7.0,,https://movie.douban.com/subject/35914398/,2024/06/06 09:20,,2024
谁是被害者2,,2024,中国台湾,剧集,"悬疑,剧情,犯罪",Netflix,7.0,,https://movie.douban.com/subject/35208511/,2024/06/26 19:16,,2024
默杀,,2024,中国,电影,"犯罪,剧情",BiliBili,7.0,,https://movie.douban.com/subject/36877322/,2024/07/10 07:48,,2024
鬼灭之刃 柱训练篇,鬼滅の刃 柱稽古編,2024,日本,剧集,"动画,魔幻,动作",Netflix,8.0,,https://movie.douban.com/subject/36449810/,2024/07/10 08:56,,2024
偷破天际线,Lift,2024,美国,电影,"悬疑,剧情,犯罪",Netflix,7.0,,https://movie.douban.com/subject/35874112/,2024/07/10 10:59,,2024
神偷军团,Army of Thieves,2021,美国,电影,犯罪,Netflix,6.0,,https://movie.douban.com/subject/35245762/,2024/07/10 15:33,,2024
连带伤害,Collateral,2018,"美国,英国",剧集,"剧情,惊悚,悬疑,犯罪",Netflix,8.0,,https://movie.douban.com/subject/27002131/,2024/07/11 08:02,,2024
怪兽8号 第一季,怪獣8号,2024,日本,剧集,"动作,魔幻,动画",Netflix,8.0,,https://movie.douban.com/subject/36052975/,2024/07/14 11:23,,2024
罪人的真相 第四季,The Sinner Season 4,2021,美国,剧集,"悬疑,剧情,惊悚",Netflix,7.0,,https://movie.douban.com/subject/35099720/,2024/07/15 15:55,,2024
罪人的真相 第一季,The Sinner Season 1,2017,美国,剧集,"悬疑,惊悚,剧情",Netflix,8.0,,https://movie.douban.com/subject/26870757/,2024/07/18 19:27,,2024
罪人的真相 第二季,The Sinner Season 2,2018,美国,剧集,"悬疑,惊悚,剧情",Netflix,7.0,,https://movie.douban.com/subject/30172298/,2024/07/20 14:21,,2024
甜蜜家园 第三季,스위트홈3,2024,韩国,剧集,"惊悚,动作,魔幻",Netflix,6.0,,https://movie.douban.com/subject/35929861/,2024/07/20 14:22,,2024
马戏之王,The Greatest Showman,2017,美国,电影,"歌舞,剧情,传记",爱奇艺,9.0,,https://movie.douban.com/subject/3914513/,2024/08/03 14:28,,2024
死侍与金刚狼,Deadpool & Wolverine,2024,美国,电影,"漫威,Super Hero,动作",院线,7.0,,https://movie.douban.com/subject/26957900/,2024/08/05 18:26,,2024
1917,,2019,"美国,英国,印度,西班牙,加拿大,中国",电影,剧情,Netflix,7.0,,https://movie.douban.com/subject/30252495/,2024/08/08 08:51,,2024
史密斯夫妇 第一季,Mr. & Mrs. Smith Season 1,2024,美国,剧集,"犯罪,动作",资源,8.0,,https://movie.douban.com/subject/35361158/,2024/08/18 10:17,,2024
罪人的真相 第三季,The Sinner Season 3,2020,美国,剧集,"悬疑,惊悚,剧情,犯罪",Netflix,6.0,,https://movie.douban.com/subject/30483025/,2024/08/19 19:00,,2024
因果报应,Maharaja,2024,印度,剧集,"犯罪,动作,剧情,悬疑",Netflix,8.0,,https://movie.douban.com/subject/36934908/,2024/08/25 16:34,,2024
疯狂的麦克斯：狂暴女神,Furiosa: A Mad Max Saga,2024,"美国,澳大利亚",电影,"惊悚,动作",资源,7.0,,https://movie.douban.com/subject/34996127/,2024/08/25 17:33,,2024
怪物：杰夫瑞·达莫的故事 第一季,DAHMER - Monster: The Jeffrey Dahmer Story Season 1,2022,美国,剧集,"犯罪,剧情",Netflix,8.0,,https://movie.douban.com/subject/35215520/,2024/09/05 15:28,,2024
三块广告牌,"Three Billboards Outside Ebbing, Missouri",2017,美国,电影,"犯罪,剧情",爱奇艺,8.0,,https://movie.douban.com/subject/26611804/,2024/09/05 21:10,,2024
流人 第四季,,,,,,资源,9.0,,,2024/10/13 19:51,,2024
异形：夺命舰,,,,,,资源,7.0,,,2024/10/16 15:12,,2024
爱在黎明破晓前,,,,,,资源,8.0,,,2024/10/17 09:05,,2024
雷普利,,,,,,Netflix,8.0,,,2024/10/30 08:44,,2024
女巫阿加莎,Agatha All Along,,,,,资源,8.0,,,2024/11/17 11:00,,2024
如此亲密的背叛者,,,,,,Netflix,8.0,,,2024/11/17 11:03,,2024
行尸走肉：达里尔·迪克森 第一季,The Walking Dead: Daryl Dixon Season 1,,,,,资源,7.0,,,2024/11/29 08:25,,2024
豺狼的日子 第一季,The Day of the Jackal Season 1,,,,,资源,9.0,,,2024/11/29 08:29,,2024
行尸走肉：达里尔·迪克森 第二季,,,,,,资源,6.0,,,2024/12/01 13:43,,2024
下一个素熙,,,,,,资源,8.0,,,2024/12/01 13:44,,2024
行骗高手,,,,,,资源,6.0,,,2024/12/05 21:07,,2024
沙丘：预言 第一季,,,,,,资源,8.0,,,2024/12/10 12:04,,2024
权力的游戏 第一季,,,,,,资源,9.0,,,2024/12/12 14:52,,2024
黑鸽,,,,,,资源,8.0,,,2024/12/22 12:00,,2024
权力的游戏 第二季,,,,,,资源,9.0,,,2024/12/22 12:03,,2024
权力的游戏 第三季,,,美国,剧集,,资源,8.0,,,2025/01/14 16:10,,2025
石油天王 第一季,,,,剧集,,资源,8.0,,,2025/01/21 12:35,,2025
羊毛战记 第二季,,,,剧集,,资源,7.0,,,2025/01/21 12:35,,2025
权力的游戏 第四季,,,,剧集,,资源,9.0,,,2025/01/23 09:56,,2025
权力的游戏 第五季,,,,剧集,,资源,8.0,,,2025/02/01 12:47,,2025
权力的游戏 第六季,,,,剧集,,资源,8.0,,,2025/02/01 12:47,,2025
边境杀手,,,,电影,,资源,7.0,,,2025/02/01 15:02,,2025
边境杀手 2,,,,电影,,资源,7.0,,,2025/02/02 15:45,,2025
误判,,,,电影,,资源,8.0,,,2025/02/02 15:45,,2025
权力的游戏 第七季,,,,剧集,,资源,8.0,,,2025/02/04 11:15,,2025
误杀瞒天记 2,,,印度,电影,,资源,8.0,,,2025/02/04 11:16,,2025
权力的游戏 第八季,,,,剧集,,资源,8.0,,,2025/02/05 11:35,,2025
黑水,,,,电影,,资源,8.0,,,2025/02/05 11:35,,2025
套装,,,,电影,,资源,7.0,,,2025/02/05 11:36,,2025
蒙太奇,,,,电影,,资源,8.0,,,2025/02/05 16:02,,2025
哪吒之魔童闹海,,,,电影,,院线,8.0,,,2025/02/07 12:19,,2025
杰伊·比姆,,,,电影,,资源,8.0,,,2025/02/07 12:19,,2025
某种物质,,,,电影,,资源,7.0,,,2025/02/07 12:20,,2025
黄海,,,,电影,,资源,8.0,,,2025/02/07 15:37,,2025
可怜的东西,,,,电影,,资源,6.0,,,2025/02/08 22:26,,2025
驯荒记,,,,剧集,,资源,8.0,,,2025/02/08 22:26,,2025
冷血动物,,,,电影,,资源,7.0,,,2025/02/08 22:30,,2025
狗神,,,,电影,,资源,8.0,,,2025/02/09 11:00,,2025
风味人间 第五季,,,,纪录片,,资源,8.0,,,2025/02/11 20:30,,2025
好东西,,,,电影,,资源,9.0,,,2025/02/11 20:30,,2025
白日梦想家,,,,电影,,资源,7.0,,,2025/02/12 13:20,,2025
幕府将军 第一季,,,,剧集,,资源,7.0,,,2025/02/14 16:50,,2025
危机13小时,,,,电影,,资源,7.0,,,2025/02/15 10:44,,2025
无罪的罪人,,,,剧集,,资源,8.0,,,2025/02/16 15:30,,2025
峡谷,,,,电影,,资源,7.0,,,2025/02/16 19:07,,2025
机器人总动员,,,,电影,,资源,9.0,,,2025/02/17 17:55,,2025
玩具总动员 1,,,,电影,,资源,8.0,,,2025/02/17 17:55,,2025
玩具总动员2,,,,电影,,资源,8.0,,,2025/02/17 17:56,,2025
杀人优越权,,,,电影,,资源,7.0,,,2025/02/18 09:14,,2025
玩具总动员 3,,,,电影,,资源,8.0,,,2025/02/18 21:32,,2025
猎凶风河谷,,,,电影,,资源,8.0,,,2025/02/18 23:33,,2025
义妹生活,,,,剧集,,资源,7.0,,,2025/02/22 15:00,,2025
双狼,,,,电影,,资源,6.0,,,2025/02/22 15:01,,2025
少数派报告,,,,电影,,资源,8.0,,,2025/02/22 19:44,,2025
银河护卫队：假日特辑,,,,电影,,资源,7.0,,,2025/02/22 20:23,,2025
会计刺客,,,,电影,,资源,8.0,,,2025/02/23 09:23,,2025
杀人者的记忆法,,,,电影,,资源,8.0,,,2025/02/25 22:59,,2025
特殊失踪专案组,,,,剧集,,资源,8.0,,,2025/03/06 23:04,,2025
不能说的秘密,,,,电影,,资源,9.0,,,2025/03/10 13:08,,2025
爱情神话,,,,电影,,资源,7.0,,,2025/03/11 17:41,,2025
